form	lemma	POS	morph
l'	le	DETdef	NOMB.=s|GENRE=m|CAS=r
avoir	avoir	NOMcom	NOMB.=s|GENRE=m|CAS=r
ont	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
fet	faire	VERppe	NOMB.=s|GENRE=m|CAS=r
léaument	lëaument	ADVgen	DEGRE=-
departir	departir	VERinf	MORPH=empty
si	si	ADVgen	DEGRE=-
bonement	bonement	ADVgen	DEGRE=-
,	,	PONfbl	MORPH=empty
que	que4	CONsub	MORPH=empty
nus	nos1	PROper	PERS.=1|NOMB.=p|GENRE=m|CAS=i
n	ne1	ADVneg	MORPH=empty
i	i2	PROadv	MORPH=empty
perdi	perdre	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
.	.	PONfrt	MORPH=empty
Gautlers	Gautier	NOMpro	NOMB.=s|GENRE=m|CAS=n
d	de	PRE	MORPH=empty
eno	Hainaut	NOMpro	NOMB.=s|GENRE=m|CAS=r
fist	faire	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
delivrés	delivrer	VERppe	NOMB.=p|GENRE=m|CAS=r
les	le	DETdef	NOMB.=p|GENRE=m|CAS=r
pris	prendre	VERppe	NOMB.=p|GENRE=m|CAS=r
et	et	CONcoo	MORPH=empty
il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n
les	il	PROper	PERS.=3|NOMB.=p|GENRE=m|CAS=r
fist	faire	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
en	en1	PRE	MORPH=empty
une	un	DETndf	NOMB.=s|GENRE=f|CAS=r
tor	tor2	NOMcom	NOMB.=s|GENRE=f|CAS=r
flatir	flatir	VERinf	MORPH=empty
,	,	PONfbl	MORPH=empty
n'	ne1	ADVneg	MORPH=empty
en	en2	PROadv	MORPH=empty
istront	issir	VERcjg	MODE=ind|TEMPS=fut|PERS.=3|NOMB.=p
Mes	Mès	NOMpro	NOMB.=s|GENRE=x|CAS=r
,	,	PONfbl	MORPH=empty
si	si	ADVgen	DEGRE=-
le	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r
saura	savoir	VERcjg	MODE=ind|TEMPS=fut|PERS.=3|NOMB.=s
Garins	Garin	NOMpro	NOMB.=s|GENRE=m|CAS=n
.	.	PONfrt	MORPH=empty
à	a3	PRE	MORPH=empty
son	son4	DETpos	PERS.=3|NOMB.=s|GENRE=m|CAS=r
talant	talent	NOMcom	NOMB.=s|GENRE=m|CAS=r
en	en2	PROadv	MORPH=empty
jert	estre1	VERcjg	MODE=ind|TEMPS=fut|PERS.=3|NOMB.=s
venjance	venjance	NOMcom	NOMB.=s|GENRE=f|CAS=r
pris	prendre	VERppe	NOMB.=s|GENRE=f|CAS=r
.	.	PONfrt	MORPH=empty
bien	bien1	ADVgen	DEGRE=p
doit	devoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
li	le	DETdef	NOMB.=s|GENRE=m|CAS=n
dus	duc2	NOMcom	NOMB.=s|GENRE=m|CAS=n
amer	amer1	VERinf	MORPH=empty
ses	son4	DETpos	PERS.=3|NOMB.=p|GENRE=m|CAS=r
bons	bon	ADJqua	NOMB.=p|GENRE=m|CAS=r|DEGRE=p
amis	ami	NOMcom	NOMB.=p|GENRE=m|CAS=r
,	,	PONfbl	MORPH=empty
qui	qui	PROrel	NOMB.=p|GENRE=m|CAS=n
pour	por2	PRE	MORPH=empty
lui	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=i
sont	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
de	de	PRE	MORPH=empty
tel	tel	DETind	NOMB.=s|GENRE=f|CAS=r
guerre	guerre	NOMcom	NOMB.=s|GENRE=f|CAS=r
entremis	entremetre	VERppe	NOMB.=p|GENRE=m|CAS=n
,	,	PONfbl	MORPH=empty
car	car	CONcoo	MORPH=empty
il	il	PROper	PERS.=3|NOMB.=p|GENRE=m|CAS=n
i	i2	PROadv	MORPH=empty
mettent	metre2	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
et	et	CONcoo	MORPH=empty
le	le	DETdef	NOMB.=s|GENRE=m|CAS=r
cuer	cuer2	NOMcom	NOMB.=s|GENRE=m|CAS=r
et	et	CONcoo	MORPH=empty
le	le	DETdef	NOMB.=s|GENRE=m|CAS=r
piz	piz	NOMcom	NOMB.=s|GENRE=m|CAS=r
.	.	PONfrt	MORPH=empty
j.	un	DETndf	NOMB.=s|GENRE=m|CAS=n
messagier	messagier	NOMcom	NOMB.=s|GENRE=m|CAS=n
