form	lemma	POS	morph
Relenqui	relenquir	VERppe	NOMB.=s|GENRE=m|CAS=r
a	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
Fromont	Fromund	NOMpro	NOMB.=s|GENRE=m|CAS=n
lo	le	DETdef	NOMB.=s|GENRE=m|CAS=r
poestis	pöestëif	NOMcom	NOMB.=s|GENRE=m|CAS=r|DEGRE=p
.	.	PONfrt	MORPH=empty
lerrai	laissier	VERcjg	MODE=ind|TEMPS=fut|PERS.=1|NOMB.=s
de	de	PRE	MORPH=empty
Gybert	Girbert	NOMpro	NOMB.=s|GENRE=m|CAS=r
ester	ester	VERinf	MORPH=empty
ci	ci	ADVgen	DEGRE=-
;	;	PONfbl	MORPH=empty
leus	lieu	NOMcom	NOMB.=s|GENRE=m|CAS=r
en	en2	PROadv	MORPH=empty
iert	estre1	VERcjg	MODE=ind|TEMPS=fut|PERS.=3|NOMB.=s
bien	bien1	ADVgen	DEGRE=p
savron	savoir	VERcjg	MODE=ind|TEMPS=fut|PERS.=1|NOMB.=p
revenir	revenir	VERinf	MORPH=empty
,	,	PONfbl	MORPH=empty
chanterons	chanter	VERcjg	MODE=ind|TEMPS=fut|PERS.=1|NOMB.=p
de	de	PRE	MORPH=empty
Fromont	Fromund	NOMpro	NOMB.=s|GENRE=m|CAS=r
le	le	DETdef	NOMB.=s|GENRE=m|CAS=r
flori	florir	VERppe	NOMB.=s|GENRE=m|CAS=r
Guillaume	Guilaume	NOMpro	NOMB.=s|GENRE=m|CAS=r
le	le	DETdef	NOMB.=s|GENRE=m|CAS=r
parent	parent	NOMcom	NOMB.=s|GENRE=m|CAS=r
Fromondin	Fromondin	NOMpro	NOMB.=s|GENRE=m|CAS=r
.	.	PONfrt	MORPH=empty
vint	venir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
.j.	un	DETndf	NOMB.=s|GENRE=m|CAS=n
mes	mes3	NOMcom	NOMB.=s|GENRE=m|CAS=n
,	,	PONfbl	MORPH=empty
si	si	ADVgen	DEGRE=-
li	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=i
a	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
dit	dire	VERppe	NOMB.=s|GENRE=m|CAS=r
.	.	PONfrt	MORPH=empty
Bien	bien1	ADVgen	DEGRE=p
fu	estre1	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
vestue	vestir	VERppe	NOMB.=s|GENRE=f|CAS=n
d'	de	PRE	MORPH=empty
un	un	DETndf	NOMB.=s|GENRE=m|CAS=r
peliçon	peliçon	NOMcom	NOMB.=s|GENRE=m|CAS=r
hermin	ermin	ADJqua	NOMB.=s|GENRE=m|CAS=r|DEGRE=p
,	,	PONfbl	MORPH=empty
Et	et	CONcoo	MORPH=empty
par	par	PRE	MORPH=empty
desus	desus	ADVgen	DEGRE=-
d'	de	PRE	MORPH=empty
un	un	DETndf	NOMB.=s|GENRE=m|CAS=r
paile	paile	NOMcom	NOMB.=s|GENRE=m|CAS=r
alexandrin	alexandrin	ADJqua	NOMB.=s|GENRE=m|CAS=r|DEGRE=p
A	a3	PRE	MORPH=empty
bendes	bende	NOMcom	NOMB.=p|GENRE=f|CAS=r
d'	de	PRE	MORPH=empty
or	or1	NOMcom	NOMB.=s|GENRE=m|CAS=r
,	,	PONfbl	MORPH=empty
mout	mout	ADVgen	DEGRE=-
noblement	noblement	ADVgen	DEGRE=p
li	il	PROper	PERS.=3|NOMB.=s|GENRE=f|CAS=i
sist	sëoir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
;	;	PONfbl	MORPH=empty
Fresche	frois1	ADJqua	NOMB.=s|GENRE=f|CAS=n|DEGRE=p
et	et	CONcoo	MORPH=empty
vermeille	vermeil1	ADJqua	NOMB.=s|GENRE=f|CAS=n|DEGRE=p
,	,	PONfbl	MORPH=empty
blanche	blanc	ADJqua	NOMB.=s|GENRE=f|CAS=n|DEGRE=p
com	come1	CONsub	MORPH=empty
flor	flor1	NOMcom	NOMB.=s|GENRE=f|CAS=r
de	de	PRE	MORPH=empty
