form	lemma	POS	morph
Sire	seignor	NOMcom	NOMB.=s|GENRE=m|CAS=n
dist	dire	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n
merci	merci	NOMcom	NOMB.=s|GENRE=f|CAS=r
deu	dieu	NOMpro	NOMB.=s|GENRE=m|CAS=r
richement	richement	ADVgen	DEGRE=-

Bien	bien1	ADVgen	DEGRE=p
auons	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=p
fait	faire	VERppe	NOMB.=s|GENRE=m|CAS=r
uostre	vostre	DETpos	PERS.=2|NOMB.=s|GENRE=m|CAS=r
commandement	comandement	NOMcom	NOMB.=s|GENRE=m|CAS=r

Les	le	DETdef	NOMB.=p|GENRE=m|CAS=r
.111j.	4	ADJcar	NOMB.=p|GENRE=m|CAS=r
roix	roi2	NOMcom	NOMB.=p|GENRE=m|CAS=r
auons	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=p
conquis	conquerre	VERppe	NOMB.=p|GENRE=m|CAS=r
en	en1	PRE	MORPH=empty
champ	champ	NOMcom	NOMB.=s|GENRE=m|CAS=r

Li	le	DETdef	NOMB.=p|GENRE=m|CAS=n
.II.	2	PROcar	NOMB.=p|GENRE=m|CAS=n
sont	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
mort	morir	VERppe	NOMB.=p|GENRE=m|CAS=n
saichez	savoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=2|NOMB.=p
ueraiement	veraiement	ADVgen	DEGRE=-

Begues	Begues	NOMpro	NOMB.=s|GENRE=m|CAS=n
mes	mon1	DETpos	PERS.=1|NOMB.=s|GENRE=m|CAS=n
freres	frere	NOMcom	NOMB.=s|GENRE=m|CAS=n
mit	metre2	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
l	le	DETdef	NOMB.=s|GENRE=m|CAS=r
un	un	PROcar	NOMB.=s|GENRE=m|CAS=r
a	a3	PRE	MORPH=empty
finement	finement	NOMcom	NOMB.=s|GENRE=m|CAS=r

Et	et	CONcoo	MORPH=empty
i	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=n
ocis	ocire	VERcjg	MODE=ind|TEMPS=psp|PERS.=1|NOMB.=s
l	le	DETdef	NOMB.=s|GENRE=m|CAS=r
autre	autre	PROind	NOMB.=s|GENRE=m|CAS=r
a	a3	PRE	MORPH=empty
mon	mon1	DETpos	PERS.=1|NOMB.=s|GENRE=m|CAS=r
espie	espiet	NOMcom	NOMB.=s|GENRE=m|CAS=r
trainchant	trenchier1	VERppa	NOMB.=s|GENRE=m|CAS=r

Dous	2	PROcar	NOMB.=p|GENRE=m|CAS=r
en	en2	PROadv	MORPH=empty
preismes	prisier	VERcjg	MODE=ind|TEMPS=psp|PERS.=1|NOMB.=p
par	par	PRE	MORPH=empty
uostre	vostre	DETpos	PERS.=2|NOMB.=s|GENRE=m|CAS=r
esforcement	esforcement2	NOMcom	NOMB.=s|GENRE=m|CAS=r

Si	si	ADVgen	DEGRE=-
en	en2	PROadv	MORPH=empty
ferez	faire	VERcjg	MODE=ind|TEMPS=fut|PERS.=2|NOMB.=p
vostre	vostre	DETpos	PERS.=2|NOMB.=s|GENRE=m|CAS=r
commandement	comandement	NOMcom	NOMB.=s|GENRE=m|CAS=r

Don	don	NOMcom	NOMB.=s|GENRE=m|CAS=r
li	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=i
liura	livrer	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
a	a3	PRE	MORPH=empty
faire	faire	VERinf	MORPH=empty
son	son4	DETpos	PERS.=3|NOMB.=s|GENRE=m|CAS=r
talant	talent	NOMcom	NOMB.=s|GENRE=m|CAS=r

Dedenz	dedenz	ADVgen	DEGRE=-
sa	son4	DETpos	PERS.=3|NOMB.=s|GENRE=f|CAS=r
chartre	chartre1	NOMcom	NOMB.=s|GENRE=f|CAS=r
furent	estre1	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=p
mis	metre2	VERppe	NOMB.=p|GENRE=m|CAS=n
maintenant	maintenant	ADVgen	DEGRE=-

Garins	Garin	NOMpro	NOMB.=s|GENRE=m|CAS=n
apele	apeler	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
le	le	DETdef	NOMB.=s|GENRE=m|CAS=r
roi	roi2	NOMcom	NOMB.=s|GENRE=m|CAS=r
cui	cui	PROrel	NOMB.=s|GENRE=m|CAS=n
france	France	NOMpro	NOMB.=s|GENRE=f|CAS=r
apent	apendre	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s

Sire	seignor	NOMcom	NOMB.=s|GENRE=m|CAS=n
dist	dire	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n
entendez	entendre	VERcjg	MODE=imp|PERS.=2|NOMB.=p
mon	mon1	DETpos	PERS.=1|NOMB.=s|GENRE=m|CAS=r
semblant	semblant	NOMcom	NOMB.=s|GENRE=m|CAS=r

Desconfiz	desconfire	VERppe	NOMB.=p|GENRE=m|CAS=n
sont	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
sarracin	Sarrasin	NOMpro	NOMB.=p|GENRE=m|CAS=n
et	et	CONcoo	MORPH=empty
persant	Persan	NOMpro	NOMB.=p|GENRE=m|CAS=n

Mais	mais1	CONcoo	MORPH=empty
d	de	PRE	MORPH=empty
une	un	DETndf	NOMB.=s|GENRE=f|CAS=r
chose	chose	NOMcom	NOMB.=s|GENRE=f|CAS=r
nos	nos1	PROper	PERS.=1|NOMB.=p|GENRE=m|CAS=i
va	aler	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
il	il	PROimp	PERS.=0|NOMB.=s|GENRE=n|CAS=n
malement	malement	ADVgen	DEGRE=-

Li	le	DETdef	NOMB.=s|GENRE=m|CAS=n
roix	roi2	NOMcom	NOMB.=s|GENRE=m|CAS=n
Thierris	Thierri	NOMpro	NOMB.=s|GENRE=m|CAS=n
iest	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
mors	morir	VERppe	NOMB.=s|GENRE=m|CAS=n
uoirement	voirement	ADVgen	DEGRE=-

Il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n
me	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=i
manda	mander	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
a	a3	PRE	MORPH=empty
son	son4	DETpos	PERS.=3|NOMB.=s|GENRE=m|CAS=r
deffinement	definement	NOMcom	NOMB.=s|GENRE=m|CAS=r

Si	si	ADVgen	DEGRE=-
me	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=i
dona	doner	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
sa	son4	DETpos	PERS.=3|NOMB.=s|GENRE=f|CAS=r
fille	fille	NOMcom	NOMB.=s|GENRE=f|CAS=r
o	o4	PRE	MORPH=empty
le	le	DETdef	NOMB.=s|GENRE=m|CAS=r
cors	cors1	NOMcom	NOMB.=s|GENRE=m|CAS=r
gent	gent2	ADJqua	NOMB.=s|GENRE=m|CAS=r|DEGRE=p

Tote	tot	DETind	NOMB.=s|GENRE=f|CAS=r
sa	son4	DETpos	PERS.=3|NOMB.=s|GENRE=f|CAS=r
terre	terre	NOMcom	NOMB.=s|GENRE=f|CAS=r
m	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=i
otroia	otroiier	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
quittement	quitement	ADVgen	DEGRE=-

Et	et	CONcoo	MORPH=empty
le	le	DETdef	NOMB.=s|GENRE=m|CAS=r
roiame	roiaume	NOMcom	NOMB.=s|GENRE=m|CAS=r
et	et	CONcoo	MORPH=empty
quantqu	cant2	PROrel	NOMB.=s|GENRE=m|CAS=r
il	il	PROimp	PERS.=0|NOMB.=s|GENRE=n|CAS=n
i	i2	PROadv	MORPH=empty
apent	apendre	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s

Ie	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=n
la	il	PROper	PERS.=3|NOMB.=s|GENRE=f|CAS=r
recus	recevoir	VERcjg	MODE=ind|TEMPS=psp|PERS.=1|NOMB.=s
par	par	PRE	MORPH=empty
itel	itel	DETind	NOMB.=s|GENRE=m|CAS=r
