form	lemma	POS	morph
qui	qui	PROrel	NOMB.=s|GENRE=m|CAS=n
veust	voloir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
oïr	öir	VERinf	MORPH=empty
chançon	chançon	NOMcom	NOMB.=s|GENRE=f|CAS=r
de	de	PRE	MORPH=empty
biau	bel1	ADJqua	NOMB.=s|GENRE=m|CAS=r|DEGRE=p
semblant	semblant	NOMcom	NOMB.=s|GENRE=m|CAS=r
,	,	PONfbl	MORPH=empty
si	si	ADVgen	DEGRE=-
face	faire	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=s
paiz	pais	NOMcom	NOMB.=s|GENRE=f|CAS=r
,	,	PONfbl	MORPH=empty
si	si	ADVgen	DEGRE=-
se	soi1	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r
traie	traire	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=s
en	en1	PRE	MORPH=empty
avant	avant	ADVgen	DEGRE=-
;	;	PONfbl	MORPH=empty
s	si	ADVgen	DEGRE=-
orra	öir	VERcjg	MODE=ind|TEMPS=fut|PERS.=3|NOMB.=s
la	le	DETdef	NOMB.=s|GENRE=f|CAS=r
flor	flor1	NOMcom	NOMB.=s|GENRE=f|CAS=r
de	de	PRE	MORPH=empty
la	le	DETdef	NOMB.=s|GENRE=f|CAS=r
geste	geste2	NOMcom	NOMB.=s|GENRE=f|CAS=r
vaillant	vaillant	ADJqua	NOMB.=s|GENRE=f|CAS=r|DEGRE=p
du	de+le	PRE.DETdef	NOMB.=s|GENRE=m|CAS=r
fiz	fil2	NOMcom	NOMB.=s|GENRE=m|CAS=r
pepin	Pepin	NOMpro	NOMB.=s|GENRE=m|CAS=r
le	le	DETdef	NOMB.=s|GENRE=m|CAS=r
riche	riche	ADJqua	NOMB.=s|GENRE=m|CAS=r|DEGRE=p
roi	roi2	NOMcom	NOMB.=s|GENRE=m|CAS=r
poissant	poissant	ADJqua	NOMB.=s|GENRE=m|CAS=r|DEGRE=p
,	,	PONfbl	MORPH=empty
des	de+le	PRE.DETdef	NOMB.=p|GENRE=m|CAS=r
.xii.	12	ADJcar	NOMB.=p|GENRE=m|CAS=r
pers	per	NOMcom	NOMB.=p|GENRE=m|CAS=r
qui	qui	PROrel	NOMB.=p|GENRE=m|CAS=n
s	soi1	PROper	PERS.=3|NOMB.=p|GENRE=m|CAS=r
entramerent	entr'amer	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=p
tant	tant	ADVgen	DEGRE=-
.	.	PONfrt	MORPH=empty
Tant	tant	ADVgen	DEGRE=-
s	soi1	PROper	PERS.=3|NOMB.=p|GENRE=m|CAS=r
entramerent	entr'amer	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=p
,	,	PONfbl	MORPH=empty
ce	ce1	PROdem	NOMB.=s|GENRE=n|CAS=r
trovon	trover	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=p
nos	nos1	PROper	PERS.=1|NOMB.=p|GENRE=n|CAS=n
lisant	lire1	VERppa	NOMB.=x|GENRE=x|CAS=x
,	,	PONfbl	MORPH=empty
ne	ne1	ADVneg	MORPH=empty
