form	lemma	POS	morph
«	«	PONpga	MORPH=empty
Par	par	PRE	MORPH=empty
cel	cel	DETdem	NOMB.=s|GENRE=m|CAS=r
apostre	apostle	NOMcom	NOMB.=s|GENRE=m|CAS=r
q'	que2	PROrel	NOMB.=s|GENRE=m|CAS=r
en	on	PROind	NOMB.=s|GENRE=n|CAS=n
qiert	querre	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
en	en1	PRE	MORPH=empty
Noiron	Noiron	NOMpro	NOMB.=s|GENRE=m|CAS=r
pré	pré	NOMcom	NOMB.=s|GENRE=m|CAS=r
,	,	PONfbl	MORPH=empty
«	«	PONpga	MORPH=empty
Se	se	CONsub	MORPH=empty
l'	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r
avions	avoir	VERcjg	MODE=ind|TEMPS=ipf|PERS.=1|NOMB.=p
ocis	ocire	VERppe	NOMB.=s|GENRE=m|CAS=r
et	et	CONcoo	MORPH=empty
afolé	afoler1	VERppe	NOMB.=s|GENRE=m|CAS=r
,	,	PONfbl	MORPH=empty
«	«	PONpga	MORPH=empty
D'	de	PRE	MORPH=empty
Aymeriet	Aymeriet	NOMpro	NOMB.=s|GENRE=m|CAS=r
ferons	faire	VERcjg	MODE=ind|TEMPS=fut|PERS.=1|NOMB.=p
roi	roi2	NOMcom	NOMB.=s|GENRE=m|CAS=r
coroné	coroner	VERppe	NOMB.=s|GENRE=m|CAS=r
.	.	PONfrt	MORPH=empty
—	-	PONfbl	MORPH=empty
Freres	frere	NOMcom	NOMB.=s|GENRE=m|CAS=n
»	»	PONpdr	MORPH=empty
,	,	PONfbl	MORPH=empty
dit	dire	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
Miles	Miles	NOMpro	NOMB.=s|GENRE=m|CAS=n
,	,	PONfbl	MORPH=empty
«	«	PONpga	MORPH=empty
or	or4	ADVgen	DEGRE=-
avez	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=2|NOMB.=p
mal	mal1	ADVgen	DEGRE=p
