id  form  lemma  POS  morph
edA_w_000001	Ha	ha	INJ	MORPH=empty
	,	,	PONfbl	MORPH=empty
edA_w_000002	Deus	Dieu	NOMpro	NOMB.=s|GENRE=m|CAS=n
	,	,	PONfbl	MORPH=empty
edA_w_000003	ce	ce1	PROdem	NOMB.=s|GENRE=n|CAS=r
edA_w_000004	dit	dire	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
edA_w_000005	Florence	Florence	NOMpro	NOMB.=s|GENRE=f|CAS=n
	,	,	PONfbl	MORPH=empty
edA_w_000006	qui	qui	PROrel	NOMB.=s|GENRE=m|CAS=n
edA_w_000007	sofris	sofrir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
edA_w_000008	paision	passïon	NOMcom	NOMB.=s|GENRE=f|CAS=r
	,	,	PONfbl	MORPH=empty
edA_w_000009	Comme	come1	CONsub	MORPH=empty
edA_w_000010	par	par	ADVgen	MORPH=empty
edA_w_000011	est	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
edA_w_000012	or	or4	ADVgen	DEGRE=-
edA_w_000013	Miles	Miles	NOMpro	NOMB.=s|GENRE=m|CAS=n
edA_w_000014	de	de	PRE	MORPH=empty
edA_w_000015	male	mal1	ADJqua	NOMB.=s|GENRE=f|CAS=r|DEGRE=p
edA_w_000016	traïson	träison	NOMcom	NOMB.=s|GENRE=f|CAS=r
	,	,	PONfbl	MORPH=empty
edA_w_000017	Qant	cant1	CONsub	MORPH=empty
edA_w_000018	il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n
edA_w_000019	voit	vëoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
edA_w_000020	mort	morir	VERppe	NOMB.=s|GENRE=m|CAS=r
edA_w_000021	†mort	morir	OUT	NOMB.=s|GENRE=m|CAS=r
edA_w_000022	son	son4	DETpos	PERS.=3|NOMB.=s|GENRE=m|CAS=r
edA_w_000023	frere	frere	NOMcom	NOMB.=s|GENRE=m|CAS=r
edA_w_000024	an	en1	PRE	MORPH=empty
edA_w_000025	mé	mi2	NOMcom	NOMB.=s|GENRE=f|CAS=r
edA_w_000026	ceste	cest	DETdem	NOMB.=s|GENRE=f|CAS=r
edA_w_000027	maison	maison	NOMcom	NOMB.=s|GENRE=f|CAS=r
	,	,	PONfbl	MORPH=empty
edA_w_000028	Puis	puis	ADVgen	DEGRE=-
edA_w_000029	se	soi1	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r
edA_w_000030	vuet	voloir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
edA_w_000031	marier	marïer	VERinf	MORPH=empty
edA_w_000032	a	a3	PRE	MORPH=empty
edA_w_000033	coite	coite	NOMcom	NOMB.=s|GENRE=f|CAS=r
edA_w_000034	d'	de	PRE	MORPH=empty
edA_w_000035	esperons	esperon	NOMcom	NOMB.=p|GENRE=m|CAS=r
	!	!	PONfrt	MORPH=empty
edA_w_000036	Mès	mais1	CONcoo	MORPH=empty
edA_w_000037	par	par	PRE	MORPH=empty
edA_w_000038	icel	icel	DETdem	NOMB.=s|GENRE=m|CAS=r
edA_w_000039	apostre	apostle	NOMcom	NOMB.=s|GENRE=m|CAS=r
edA_w_000040	c'	que2	PROrel	NOMB.=s|GENRE=m|CAS=r
edA_w_000041	on	on	PROind	NOMB.=s|GENRE=n|CAS=n
edA_w_000042	qiert	querre	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
edA_w_000043	au	a3+le	PRE.DETdef	NOMB.=s|GENRE=m|CAS=r
edA_w_000044	Pré	Pré	NOMpro	NOMB.=s|GENRE=m|CAS=r
edA_w_000045	Noiron	Noiron	NOMpro	NOMB.=s|GENRE=m|CAS=r
	,	,	PONfbl	MORPH=empty
edA_w_000046	Jemais	ja+mais1	ADVgen	DEGRE=-
edA_w_000047	de	de	PRE	MORPH=empty
edA_w_000048	mariage	marïage	NOMcom	NOMB.=s|GENRE=m|CAS=r
edA_w_000049	n'	ne1	ADVneg	MORPH=empty
edA_w_000050	avrai	avoir	VERcjg	MODE=ind|TEMPS=fut|PERS.=1|NOMB.=s
edA_w_000051	benieçon	benëiçon	NOMcom	NOMB.=s|GENRE=f|CAS=r
	!	!	PONfrt	MORPH=empty
edA_w_000052	Et	et	CONcoo	MORPH=empty
edA_w_000053	s'	se	CONsub	MORPH=empty
edA_w_000054	avenoit	avenir	VERcjg	MODE=con|PERS.=3|NOMB.=s
edA_w_000055	or	or4	ADVgen	DEGRE=-
edA_w_000056	chose	chose	NOMcom	NOMB.=s|GENRE=f|CAS=r
edA_w_000057	que	que2	PROrel	NOMB.=s|GENRE=f|CAS=r
edA_w_000058	preïsse	prendre	VERcjg	MODE=sub|TEMPS=ipf|PERS.=1|NOMB.=s
edA_w_000059	baron	baron	NOMcom	NOMB.=s|GENRE=m|CAS=r
	,	,	PONfbl	MORPH=empty
edA_w_000060	Por	por2	PRE	MORPH=empty
edA_w_000061	trestot	trestot	DETind	NOMB.=s|GENRE=m|CAS=r
edA_w_000062	l'	le	DETdef	NOMB.=s|GENRE=m|CAS=r
edA_w_000063	or	or1	NOMcom	NOMB.=s|GENRE=m|CAS=r
edA_w_000064	dou	de+le	PRE.DETdef	NOMB.=s|GENRE=m|CAS=r
edA_w_000065	segle	siecle	NOMcom	NOMB.=s|GENRE=m|CAS=r
edA_w_000066	ne	ne1	ADVneg	DEGRE=-
edA_w_000067	pranroie	prendre	VERcjg	MODE=con|PERS.=1|NOMB.=s
edA_w_000068	Milon	Miles	NOMpro	NOMB.=s|GENRE=m|CAS=r
	!	!	PONfrt	MORPH=empty
edA_w_000069	Je	je	PROper	PERS.=1|NOMB.=s|GENRE=f|CAS=n
edA_w_000070	ne	ne1	ADVneg	MORPH=empty
edA_w_000071	m'	je	PROper	PERS.=1|NOMB.=s|GENRE=f|CAS=r
edA_w_000072	i	i2	PROadv	MORPH=empty
edA_w_000073	fieroie	fïer	VERcjg	MODE=con|PERS.=1|NOMB.=s
	:	:	PONfbl	MORPH=empty
edA_w_000074	trop	trop	ADVgen	DEGRE=-
edA_w_000075	resanble	resembler	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
edA_w_000076	felon	felon	NOMcom	NOMB.=s|GENRE=m|CAS=r
	»	»	PONpdr	MORPH=empty
	«	«	PONpga	MORPH=empty
edA_w_000077	Dame	dame	NOMcom	NOMB.=s|GENRE=f|CAS=n
	,	,	PONfbl	MORPH=empty
edA_w_000078	ce	ce1	PROdem	NOMB.=s|GENRE=n|CAS=r
edA_w_000079	respont	respondre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
edA_w_000080	Miles	Miles	NOMpro	NOMB.=s|GENRE=m|CAS=n
	,	,	PONfbl	MORPH=empty
edA_w_000081	li	le	DETdef	NOMB.=s|GENRE=m|CAS=n
edA_w_000082	traïtes	träitor	NOMcom	NOMB.=s|GENRE=m|CAS=n
edA_w_000083	provez	prover	VERppe	NOMB.=s|GENRE=m|CAS=n
	,	,	PONfbl	MORPH=empty
edA_w_000084	Par	par	PRE	MORPH=empty
edA_w_000085	saint	saint	ADJqua	NOMB.=s|GENRE=m|CAS=r
edA_w_000086	Pere	Pierre	NOMpro	NOMB.=s|GENRE=m|CAS=r
edA_w_000087	de	de	PRE	MORPH=empty
edA_w_000088	Rome	Rome	NOMpro	NOMB.=s|GENRE=x|CAS=r
	,	,	PONfbl	MORPH=empty
edA_w_000089	de	de	PRE	MORPH=empty
