Meyer_2_w_000001	[Relen]qui	relenquir	VERppe	NOMB.=s|GENRE=m|CAS=r
Meyer_2_w_000002	a	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
Meyer_2_w_000003	Fromont	Fromund	NOMpro	NOMB.=s|GENRE=m|CAS=n
Meyer_2_w_000004	lo	le	DETdef	NOMB.=s|GENRE=m|CAS=r
Meyer_2_w_000005	poestis	pöestëif	NOMcom	NOMB.=s|GENRE=m|CAS=r|DEGRE=p
Meyer_2_w_000006	lerrai	laissier	VERcjg	MODE=ind|TEMPS=fut|PERS.=1|NOMB.=s
Meyer_2_w_000007	de	de	PRE	MORPH=empty
Meyer_2_w_000008	Gybert	Girbert	NOMpro	NOMB.=s|GENRE=m|CAS=r
Meyer_2_w_000009	ester	ester	VERinf	MORPH=empty
Meyer_2_w_000010	ci	ci	ADVgen	DEGRE=-
Meyer_2_w_000011	leus	lieu	NOMcom	NOMB.=s|GENRE=m|CAS=r
Meyer_2_w_000012	en	en2	PROadv	MORPH=empty
Meyer_2_w_000013	iert	estre1	VERcjg	MODE=ind|TEMPS=fut|PERS.=3|NOMB.=s
Meyer_2_w_000014	bien	bien1	ADVgen	DEGRE=p
Meyer_2_w_000015	savron	savoir	VERcjg	MODE=ind|TEMPS=fut|PERS.=1|NOMB.=p
Meyer_2_w_000016	revenir	revenir	VERinf	MORPH=empty
Meyer_2_w_000017	[cha]nterons	chanter	VERcjg	MODE=ind|TEMPS=fut|PERS.=1|NOMB.=p
Meyer_2_w_000018	de	de	PRE	MORPH=empty
Meyer_2_w_000019	Fromont	Fromund	NOMpro	NOMB.=s|GENRE=m|CAS=r
Meyer_2_w_000020	le	le	DETdef	NOMB.=s|GENRE=m|CAS=r
Meyer_2_w_000021	flori	florir	VERppe	NOMB.=s|GENRE=m|CAS=r
Meyer_2_w_000022	Guillaume	Guilaume	NOMpro	NOMB.=s|GENRE=m|CAS=r
Meyer_2_w_000023	le	le	DETdef	NOMB.=s|GENRE=m|CAS=r
Meyer_2_w_000024	parent	parent	NOMcom	NOMB.=s|GENRE=m|CAS=r
Meyer_2_w_000025	Fromondin	Fromondin	NOMpro	NOMB.=s|GENRE=m|CAS=r
Meyer_2_w_000026	vint	venir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
Meyer_2_w_000027	j	un	DETndf	NOMB.=s|GENRE=m|CAS=n
Meyer_2_w_000028	mes	mes3	NOMcom	NOMB.=s|GENRE=m|CAS=n
Meyer_2_w_000029	si	si	ADVgen	DEGRE=-
Meyer_2_w_000030	li	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=i
Meyer_2_w_000031	a	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
Meyer_2_w_000032	dit	dire	VERppe	NOMB.=s|GENRE=m|CAS=r
Meyer_2_w_000033	Bien	bien1	ADVgen	DEGRE=p
Meyer_2_w_000034	fu	estre1	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
Meyer_2_w_000035	vestue	vestir	VERppe	NOMB.=s|GENRE=f|CAS=n
Meyer_2_w_000036	d	de	PRE	MORPH=empty
Meyer_2_w_000037	un	un	DETndf	NOMB.=s|GENRE=m|CAS=r
Meyer_2_w_000038	peliçon	peliçon	NOMcom	NOMB.=s|GENRE=m|CAS=r
Meyer_2_w_000039	hermin	ermin	ADJqua	NOMB.=s|GENRE=m|CAS=r|DEGRE=p
Meyer_2_w_000040	Et	et	CONcoo	MORPH=empty
