form	lemma	POS	morph
ed_GarLorrBa		_	_
Sa	son4	DETpos	NOMB.=s|GENRE=f|CAS=n
gent	gent1	NOMcom	NOMB.=s|GENRE=f|CAS=n
cheuauchent	chevauchier	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
plain	plein	ADJqua	NOMB.=p|GENRE=m|CAS=n|DEGRE=p
en	en2	PROadv	MORPH=empty
sunt	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
li	le	DETdef	NOMB.=p|GENRE=m|CAS=n
chemin	chemin	NOMcom	NOMB.=p|GENRE=m|CAS=n
Apres	après	PRE	MORPH=empty
le	le	DETdef	NOMB.=s|GENRE=m|CAS=r
roi	roi2	NOMcom	NOMB.=s|GENRE=m|CAS=r
viurent	venir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=p
por	por2	PRE	MORPH=empty
lui	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=i
servir	servir	VERinf	MORPH=empty
Charles	Charles	NOMpro	NOMB.=s|GENRE=m|CAS=n
Martel	Martel	NOMpro	NOMB.=s|GENRE=m|CAS=n
atendi	atendre	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
ses	son4	DETpos	PERS.=3|NOMB.=p|GENRE=m|CAS=r
barons	baron	NOMcom	NOMB.=p|GENRE=m|CAS=r
De	de	PRE	MORPH=empty
sore	sor2	PRE	MORPH=empty
sãine	Seine	NOMpro	NOMB.=s|GENRE=f|CAS=r
ot	avoir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
tres	tref2	NOMcom	NOMB.=p|GENRE=m|CAS=r
et	et	CONcoo	MORPH=empty
pauillons	paveillon	NOMcom	NOMB.=p|GENRE=m|CAS=r
L	le	DETdef	NOMB.=s|GENRE=f|CAS=n
erbe	erbe	NOMcom	NOMB.=s|GENRE=f|CAS=n
i	i2	PROadv	MORPH=empty
est	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
fresche	frois1	ADJqua	NOMB.=s|GENRE=f|CAS=n|DEGRE=p
et	et	CONcoo	MORPH=empty
clers	cler	ADJqua	NOMB.=s|GENRE=m|CAS=n|DEGRE=p
i	i2	PROadv	MORPH=empty
est	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
li	le	DETdef	NOMB.=s|GENRE=m|CAS=n
ions	jonc	NOMcom	NOMB.=s|GENRE=m|CAS=n
Normant	Normant	NOMpro	NOMB.=p|GENRE=m|CAS=n
le	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r
sivent	sivre	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
si	si	ADVgen	DEGRE=-
uienent	venir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
bourguignons	Borguignon	NOMpro	NOMB.=p|GENRE=m|CAS=n
Li	le	DETdef	NOMB.=s|GENRE=m|CAS=n
rois	roi2	NOMcom	NOMB.=s|GENRE=m|CAS=n
i	i2	PROadv	MORPH=empty
est	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
a	a3	PRE	MORPH=empty
xx.m.	vint+mil1	DETcar	NOMB.=p|GENRE=m|CAS=r
compaingnons	compagnon	NOMcom	NOMB.=p|GENRE=m|CAS=r
N	ne1	ADVneg	MORPH=empty
ose	oser	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
assambler	assembler	VERinf	MORPH=empty
tant	tant	ADVgen	DEGRE=-
i	i2	PROadv	MORPH=empty
a	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
de	de	PRE	MORPH=empty
felons	felon	NOMcom	NOMB.=p|GENRE=m|CAS=r
S	se	OUT	MORPH=empty
l	il	OUT	PERS.=3|NOMB.=s|GENRE=m|CAS=r
en	en2	PROadv	MORPH=empty
deprie	depriier	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
quimoultestoit	SEGM	OUT	MORPH=empty
prodons	prodome	NOMcom	NOMB.=s|GENRE=m|CAS=n
Or	or4	ADVgen	DEGRE=-
le	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r
lairons	laissier	VERcjg	MODE=ind|TEMPS=fut|PERS.=1|NOMB.=p
isi	ici	ADVgen	DEGRE=-
dou	de+le	PRE.DETdef	NOMB.=s|GENRE=m|CAS=r
roi	roi2	NOMcom	NOMB.=s|GENRE=m|CAS=r
karlon	Charles	NOMpro	NOMB.=s|GENRE=m|CAS=r
Qant	cant1	CONsub	MORPH=empty
lius	lieu	NOMcom	NOMB.=s|GENRE=m|CAS=n
en	en2	PROadv	MORPH=empty
iert	estre1	VERcjg	MODE=ind|TEMPS=fut|PERS.=3|NOMB.=s
bien	bien1	ADVgen	DEGRE=p
i	i2	PROadv	MORPH=empty
retornerons	retorner	VERcjg	MODE=ind|TEMPS=fut|PERS.=1|NOMB.=p
D	de	PRE	MORPH=empty
un	un	DETndf	NOMB.=s|GENRE=m|CAS=r
riche	riche	ADJqua	NOMB.=s|GENRE=m|CAS=r|DEGRE=p
prince	prince	NOMcom	NOMB.=s|GENRE=m|CAS=r
erant	errer2	VERppa	NOMB.=s|GENRE=m|CAS=r
uos	vos	PROper	PERS.=1|NOMB.=p|GENRE=m|CAS=i
chanterons	chanter	VERcjg	MODE=ind|TEMPS=fut|PERS.=1|NOMB.=p
C	ce1	PROdem	NOMB.=s|GENRE=n|CAS=r
est	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
de	de	PRE	MORPH=empty
herui	Hervis	NOMpro	NOMB.=s|GENRE=m|CAS=r
qui	qui	PROrel	NOMB.=s|GENRE=m|CAS=n
s	soi1	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r
en	en2	PROadv	MORPH=empty
ua	aler	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
uers	vers2	PRE	MORPH=empty
soissons	Soissons	NOMpro	NOMB.=s|GENRE=f|CAS=r
Passe	passer1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
les	le	DETdef	NOMB.=p|GENRE=m|CAS=r
puis	pui	NOMcom	NOMB.=p|GENRE=m|CAS=r
les	le	DETdef	NOMB.=p|GENRE=m|CAS=r
tertres	tertre	NOMcom	NOMB.=p|GENRE=m|CAS=r
et	et	CONcoo	MORPH=empty
les	le	DETdef	NOMB.=p|GENRE=m|CAS=r
mons	mont	NOMcom	NOMB.=p|GENRE=m|CAS=r
Auec	avuec	PRE	MORPH=empty
lui	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=i
ot	avoir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
.x.m	dis1+mil1	DETcar	NOMB.=p|GENRE=m|CAS=r
compaingnons	compagnon	NOMcom	NOMB.=p|GENRE=m|CAS=r
Si	son4	DETpos	PERS.=3|NOMB.=p|GENRE=m|CAS=n
home	ome	NOMcom	NOMB.=p|GENRE=m|CAS=n
furent	estre1	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=p
hardi	hardi	ADJqua	NOMB.=p|GENRE=m|CAS=n|DEGRE=p
comme	come1	CONsub	MORPH=empty
lion	lïon	NOMcom	NOMB.=p|GENRE=m|CAS=n
Ja	ja	ADVgen	DEGRE=-
por	por2	PRE	MORPH=empty
paiens	paien	NOMcom	NOMB.=p|GENRE=m|CAS=r
fors	fors1	ADVgen	DEGRE=-
de	de	PRE	MORPH=empty
champ	champ	NOMcom	NOMB.=s|GENRE=m|CAS=r
ne	ne1	ADVneg	MORPH=empty
fuiront	fuir	VERcjg	MODE=ind|TEMPS=fut|PERS.=3|NOMB.=p
Ains	ainz	ADVgen	DEGRE=-
dient	dire	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
bien	bien1	ADVgen	DEGRE=p
que	que4	CONsub	MORPH=empty
il	il	PROper	PERS.=3|NOMB.=p|GENRE=m|CAS=n
se	soi1	PROper	PERS.=3|NOMB.=p|GENRE=m|CAS=r
combatront	combatre	VERcjg	MODE=ind|TEMPS=fut|PERS.=3|NOMB.=p
Se	se	CONsub	MORPH=empty
il	il	PROper	PERS.=3|NOMB.=p|GENRE=m|CAS=n
les	il	PROper	PERS.=3|NOMB.=p|GENRE=m|CAS=r
trueuen	trover	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
ia	ja	ADVgen	DEGRE=-
nes	ne1+il	ADVneg.PROper	PERS.=3|NOMB.=p|GENRE=m|CAS=r
isi	ici	ADVgen	DEGRE=-
laisseront	laissier	VERcjg	MODE=ind|TEMPS=fut|PERS.=3|NOMB.=p
O	o4	PRE	MORPH=empty
les	le	DETdef	NOMB.=p|GENRE=f|CAS=r
espees	espee	NOMcom	NOMB.=p|GENRE=f|CAS=r
tos	tot	ADJind	NOMB.=p|GENRE=m|CAS=r
les	il	PROper	NOMB.=p|GENRE=m|CAS=r
detrancheront	detrenchier	VERcjg	MODE=ind|TEMPS=fut|PERS.=3|NOMB.=p
Et	et	CONcoo	MORPH=empty
dist	dire	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
Heruix	Hervis	NOMpro	NOMB.=s|GENRE=m|CAS=n
dex	dieu	NOMpro	NOMB.=s|GENRE=m|CAS=n
nos	nos1	PROper	PERS.=1|NOMB.=p|GENRE=m|CAS=r
en	en2	PROadv	MORPH=empty
oit	öir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
baron	baron	NOMcom	NOMB.=p|GENRE=m|CAS=n
À	a3	PRE	MORPH=empty
IIII	catre	DETcar	NOMB.=p|GENRE=f|CAS=r
liues	lieue	NOMcom	NOMB.=p|GENRE=f|CAS=r
de	de	PRE	MORPH=empty
la	le	DETdef	NOMB.=s|GENRE=f|CAS=r
cit	cité	NOMcom	NOMB.=s|GENRE=f|CAS=r
de	de	PRE	MORPH=empty
soisons	Soissons	NOMpro	NOMB.=s|GENRE=f|CAS=r
Sest	SEGM	OUT	NOMB.=s|GENRE=m|CAS=n
arestes	arester	VERppe	NOMB.=s|GENRE=m|CAS=n
li	le	DETdef	NOMB.=s|GENRE=m|CAS=n
os	ost	NOMcom	NOMB.=s|GENRE=m|CAS=n
au	a3+le	PRE.DETdef	NOMB.=s|GENRE=m|CAS=r
bon	bon	ADJqua	NOMB.=s|GENRE=m|CAS=r|DEGRE=p
baron	baron	NOMcom	NOMB.=s|GENRE=m|CAS=r
La	là	ADVgen	DEGRE=-
ueissies	vëoir	VERcjg	MODE=sub|TEMPS=ipf|PERS.=2|NOMB.=p
tantes	tente1	NOMcom	NOMB.=p|GENRE=f|CAS=r
et	et	CONcoo	MORPH=empty
pauillons	paveillon	NOMcom	NOMB.=p|GENRE=m|CAS=r
Banieres	baniere	NOMcom	NOMB.=p|GENRE=f|CAS=r
droites	droit	ADJqua	NOMB.=p|GENRE=f|CAS=r|DEGRE=p
et	et	CONcoo	MORPH=empty
vermaus	vermeil1	ADJqua	NOMB.=p|GENRE=f|CAS=r|DEGRE=p
confanons	gonfanon	NOMcom	NOMB.=p|GENRE=m|CAS=r
Et	et	CONcoo	MORPH=empty
li	le	DETdef	NOMB.=p|GENRE=m|CAS=n
seriant	serjant	NOMcom	NOMB.=p|GENRE=m|CAS=n
se	soi1	PROper	PERS.=3|NOMB.=p|GENRE=m|CAS=r
logent	logier	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
enuiron	environ	ADVgen	DEGRE=-
De	de	PRE	MORPH=empty
sa	son4	DETpos	PERS.=3|NOMB.=s|GENRE=f|CAS=r
uiande	vïande	NOMcom	NOMB.=s|GENRE=f|CAS=r
lor	il	PROper	PERS.=3|NOMB.=p|GENRE=m|CAS=i
uint	venir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
a	a3	PRE	MORPH=empty
grant	grant	ADJqua	NOMB.=s|GENRE=f|CAS=r|DEGRE=p
foison	foison	NOMcom	NOMB.=s|GENRE=f|CAS=r
Li	le	DETdef	NOMB.=s|GENRE=m|CAS=n
dus	duc2	NOMcom	NOMB.=s|GENRE=m|CAS=n
heruis	Hervis	NOMpro	NOMB.=s|GENRE=m|CAS=n
apella	apeler	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
ses	son4	DETpos	PERS.=3|NOMB.=s|GENRE=m|CAS=r
barons	baron	NOMcom	NOMB.=p|GENRE=m|CAS=r
Set	cest	PROdem	PERS.=3|NOMB.=s|GENRE=m|CAS=n
en	en1	PRE	MORPH=empty
plorant	plorer	VERppa	NOMB.=x|GENRE=x|CAS=x
