ed_GLC_w_000001	[H]aim	Haim	NOMpro	NOMB.=s|GENRE=m|CAS=r
ed_GLC_w_000002	de	de	PRE	MORPH=empty
ed_GLC_w_000003	Bordele	Bordeaux	NOMpro	NOMB.=s|GENRE=f|CAS=r
ed_GLC_w_000004	et	et	CONcoo	MORPH=empty
ed_GLC_w_000005	le	le	DETdef	NOMB.=s|GENRE=m|CAS=r
ed_GLC_w_000006	preu	pro	ADJqua	NOMB.=s|GENRE=m|CAS=r|DEGRE=p
ed_GLC_w_000007	Hardoïn	Hardoïn	NOMpro	NOMB.=s|GENRE=m|CAS=r
ed_GLC_w_000008	Maugré	maugré	NOMcom	NOMB.=s|GENRE=m|CAS=r
ed_GLC_w_000009	en	en2	PROadv	MORPH=empty
ed_GLC_w_000010	aient	avoir	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=p
ed_GLC_w_000011	tretuit	trestot	DETind	NOMB.=p|GENRE=m|CAS=n
ed_GLC_w_000012	li	il	DETdef	NOMB.=p|GENRE=m|CAS=n
ed_GLC_w_000013	Poitevin	Poitevin	NOMpro	NOMB.=p|GENRE=m|CAS=n
ed_GLC_w_000014	Et	et	CONcoo	MORPH=empty
ed_GLC_w_000015	le	le	DETdef	NOMB.=s|GENRE=m|CAS=r
ed_GLC_w_000016	parage	parage	NOMcom	NOMB.=s|GENRE=m|CAS=r
ed_GLC_w_000017	Fromont	Fromund	NOMpro	NOMB.=s|GENRE=m|CAS=r
ed_GLC_w_000018	le	le	DETdef	NOMB.=s|GENRE=m|CAS=r
ed_GLC_w_000019	posteïf	pöestëif	ADJqua	NOMB.=s|GENRE=m|CAS=r|DEGRE=p
ed_GLC_w_000020	S[il]	si+il	ADVgen.PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r
ed_GLC_w_000021	[don]rai	doner	VERcjg	MODE=ind|TEMPS=fut|PERS.=1|NOMB.=s
ed_GLC_w_000022	je	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=n
ed_GLC_w_000023	le	le	DETdef	NOMB.=s|GENRE=m|CAS=r
ed_GLC_w_000024	cheva	cheval	NOMcom	NOMB.=s|GENRE=m|CAS=r
