id  form  lemma  POS  morph
edDr_w_000001	A	a3	PRE	MORPH=empty
edDr_w_000002	Blaives	Bleives	NOMpro	NOMB.=s|GENRE=x|CAS=r
edDr_w_000003	fuisent	estre1	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=p
edDr_w_000004	trestot	trestot	ADVgen	DEGRE=-
edDr_w_000005	encontre	encontre1	PRE	MORPH=empty
edDr_w_000006	li	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=i
edDr_w_000007	A	a3	PRE	MORPH=empty
edDr_w_000008	tant	tant	ADVgen	DEGRE=-
edDr_w_000009	de	de	PRE	MORPH=empty
edDr_w_000010	gent	gent1	NOMcom	NOMB.=s|GENRE=f|CAS=r
edDr_w_000011	com	come1	CONsub	MORPH=empty
edDr_w_000012	il	il	PROper	PERS.=3|NOMB.=p|GENRE=m|CAS=n
edDr_w_000013	porront	pöoir	VERcjg	MODE=ind|TEMPS=fut|PERS.=3|NOMB.=p
edDr_w_000014	soufir	sofrir	VERinf	MORPH=empty
	;	;	PONfbl	MORPH=empty
edDr_w_000015	Et	et	CONcoo	MORPH=empty
edDr_w_000016	il	il	PROper	PERS.=3|NOMB.=p|GENRE=m|CAS=n
edDr_w_000017	si	si	ADVgen	DEGRE=-
edDr_w_000018	firent	faire	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=p
edDr_w_000019	sans	sans	PRE	MORPH=empty
edDr_w_000020	nisun	nesun	PROind	NOMB.=s|GENRE=n|CAS=r
edDr_w_000021	contredit	contredit	NOMcom	NOMB.=s|GENRE=m|CAS=r
	.	.	PONfrt	MORPH=empty
edDr_w_000022	À	a3	PRE	NOMB.=s|GENRE=m|CAS=i
edDr_w_000023	Blaives	glaive	NOMpro	NOMB.=s|GENRE=x|CAS=r
edDr_w_000024	vienent	venir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
edDr_w_000025	les	le	DETdef	NOMB.=p|GENRE=f|CAS=n
edDr_w_000026	os	ost	NOMcom	NOMB.=p|GENRE=f|CAS=n
edDr_w_000027	au	a3+le	PRE.DETdef	NOMB.=s|GENRE=m|CAS=r
edDr_w_000028	duc	duc2	NOMcom	NOMB.=s|GENRE=m|CAS=r
edDr_w_000029	Garin	Garin	NOMpro	NOMB.=s|GENRE=m|CAS=r
edDr_w_000030	Grans	grant	ADJqua	NOMB.=p|GENRE=f|CAS=r|DEGRE=p
edDr_w_000031	et	et	CONcoo	MORPH=empty
edDr_w_000032	plenieres	plenier2	ADJqua	NOMB.=p|GENRE=f|CAS=r|DEGRE=p
edDr_w_000033	nus	nul	PROind	NOMB.=s|GENRE=n|CAS=r
edDr_w_000034	plus	plus	ADVgen	DEGRE=-
edDr_w_000035	beles	bel1	ADJqua	NOMB.=p|GENRE=f|CAS=r|DEGRE=p
edDr_w_000036	ne	ne1	ADVneg	MORPH=empty
edDr_w_000037	vit	vëoir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
	,	,	PONfbl	MORPH=empty
edDr_w_000038	Il	il	PROper	PERS.=3|NOMB.=p|GENRE=m|CAS=n
edDr_w_000039	s'	soi1	PROper	PERS.=3|NOMB.=p|GENRE=m|CAS=r
edDr_w_000040	esforcierent	esforcier2	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=p
edDr_w_000041	et	et	CONcoo	MORPH=empty
edDr_w_000042	cascuns	chascun	PROind	NOMB.=s|GENRE=m|CAS=n
edDr_w_000043	mult	mout	ADVgen	DEGRE=-
edDr_w_000044	bel	bel1	ADVgen	DEGRE=p
edDr_w_000045	vint	venir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
edDr_w_000046	À	a3	PRE	MORPH=empty
edDr_w_000047	son	son4	DETpos	PERS.=3|NOMB.=s|GENRE=m|CAS=r
edDr_w_000048	pooir	pöoir	NOMcom	NOMB.=s|GENRE=m|CAS=r
edDr_w_000049	si	si	ADVgen	DEGRE=-
edDr_w_000050	com	come1	CONsub	MORPH=empty
